,Raw,Root,Translation,Sentence
0,desk,desk,sıra, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
1,time,time,zaman, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
2,disk,disk,disk, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
3,mail,mail,posta, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
4,while,while,süre, without any delay while the users are logged on connected to a network system account normally using a password to the system
5,hardware,hardwar,donanım, The equipment is known as  the hardware and the programs and data  are the software
6,allows,allow,izin vermek, A special set of programs called an operating system provides an interface for the user and allows applications programs to communicate with the hardware
7,commonly,common,yaygın olarak, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
8,interlinked,interlink,birbirine bağlı, The Web contains interlinked documents called webpages
9,people,peopl,insanlar, An Internet system designed to provide free interactive access to vast resources for people all over the world is sometimes referred to as an information superhighway
10,stored,store,saklanmış, A set of related webpages stored together on a server computer is called a website
11,Internet,internet,İnternet, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
12,Advanced,advanc,Gelişmiş, Advanced systems known as expert systems enable computers to ‘think’ like experts
13,future,futur,gelecek, How they are developed and for what purposes they are actually used in the future can be influenced by computer users
14,best,best,en iyi, Medical expert systems for example can help doctors diagnose an illness and decide on the best treatment
15,related,relat,ilişkili, A set of related webpages stored together on a server computer is called a website
16,network,network,ağ, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
17,build,build,inşa etmek,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
18,washing,wash,yıkama, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
19,expansion,expans,genişleme, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
20,Various,various,Çeşitli, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
21,stay,stay,kalmak,  Services such as these allow people to telecommute use their computers to stay in touch with the office while they are working at home
22,clipart,clipart,keçe, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
23,communication,communic,iletişim, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
24,remove,remov,kaldırmak, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
25,have,have,Sahip olmak, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
26,classrooms,classroom,sınıf, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
27,standards,standard,standartlar, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
28,account,account,hesap, without any delay while the users are logged on connected to a network system account normally using a password to the system
29,done,done,tamamlamak, This is done by pressing a button on the mouse i
30,mentioned,mention,adı geçen, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
31,working,work,Çalışma,  Services such as these allow people to telecommute use their computers to stay in touch with the office while they are working at home
32,email,email,e -posta, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
33,handheld,handheld,el tipi, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
34,forms,form,formlar, A multimedia computer can process different forms of data including text graphics audio sound animation and video
35,monitor,monitor,izlemek, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
36,office,offic,ofis, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
37,distance,distanc,mesafe, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
38,cameras,camera,kameralar, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
39,receiving,receiv,alıcı, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
40,enable,enabl,etkinleştirme, Advanced systems known as expert systems enable computers to ‘think’ like experts
41,the,the,., The equipment is known as  the hardware and the programs and data  are the software
42,displayed,display,gösterilen, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
43,peripherals,peripher,çevre, A variety of devices known as peripherals can be added externally to a computer
44,computers,comput,bilgisayar, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
45,signals,signal,sinyaller, One of the most common peripherals is a printer used for printing the computer output the processed data or signals that come out of a computer system   on paper
46,their,their,onların,  Services such as these allow people to telecommute use their computers to stay in touch with the office while they are working at home
47,integrated,integr,Birleşik,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
48,help,help,Yardım Edin, Medical expert systems for example can help doctors diagnose an illness and decide on the best treatment
49,same,same,aynı,e they cannot use the same programs and data
50,choices,choic,seçimler, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
51,these,these,bunlar, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
52,resources,resourc,kaynaklar, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
53,Not,not,Değil,  Not all computer systems are compatible i
54,keyboard,keyboard,tuş takımı, The main device for inputting the data is a typewriter style keyboard and the output is commonly displayed on a monitor screen that looks like a small television screen
55,purpose,purpos,amaç,  Unlike most machines computers do not have a fixed purpose
56,‘Pets,pet,'Evcil Hayvanlar, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
57,menus,menus,menüler, Some operating systems have graphical user interfaces that allow the computer user to select items from menus lists of choices and to start programs using an input device called a mouse
58,such,such,çok, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
59,gradually,gradual,gitgide, As computer systems are developed they are becoming more common and are gradually being used for more and more purposes
60,webpages,webpag,internet sayfaları, The Web contains interlinked documents called webpages
61,Web,web,ağ,  One of the newest and most popular services available on the Internet is the Worid Wide Web WWW which is often simply referred to as the Web note the use of the capital W
62,boardrooms,boardroom,toplantı odaları, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
63,desktop,desktop,masaüstü, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
64,one,one,bir, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
65,Medical,medic,Tıbbi, Medical expert systems for example can help doctors diagnose an illness and decide on the best treatment
66,becoming,becom,bulma, As computer systems are developed they are becoming more common and are gradually being used for more and more purposes
67,machines,machin,makineler, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
68,digital,digit,dijital, A digital camera allows photographs to be input to a computer for editing
69,microchip,microchip,mikroçip,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
70,normally,normal,normalde, without any delay while the users are logged on connected to a network system account normally using a password to the system
71,AskJeeves,askjeev,Askjeeves, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
72,light,light,ışık, CDROMs are storage devices that use laser light for reading and writing data
73,sometimes,sometim,Bazen, This enables computer systems to be used for a combination of education and entertainment sometimes referred to as edutainment
74,program,program,program,     A computer is a device that processes data according to a set of instructions known  as a program
75,see,see,görmek, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
76,memory,memori,hafıza, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
77,wordprocessors,wordprocessor,kelime işlemcileri, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
78,contains,contain,içermek, The Web contains interlinked documents called webpages
79,larger,larger,daha büyük, Note that copying data from a larger server system to a client is referred to as downloading and copying from the client to the server is known as uploading
80,pictures,pictur,resimler, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
81,button,button,buton, This is done by pressing a button on the mouse i
82,powerful,power,güçlü, An Internet service called FTP File Transfer Protocol is used for transferring data or program files between the powerful server computers that provide the network services and the client computers that use these services e
83,around,around,etrafında, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
84,are,are,var olan, The equipment is known as  the hardware and the programs and data  are the software
85,available,avail,mevcut, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
86,very,veri,çok, They can be used in a very wide variety of situations and are found in a wide range of systems including security systems cars and phones
87,processes,process,süreçler,     A computer is a device that processes data according to a set of instructions known  as a program
88,taking,take,alıcı, video files attached to simple email text messages distance learning and videoconferencing a form of communication over a network that uses video cameras so that the people taking part can see and hear each other electronic classrooms or boardrooms browsing the Web moving from webpage to webpage using a Web browser program selling using a website painting scanning pictures downloading music and creating CDROMs compact disk read only memory commonly referred to as CDs
89,way,way,yol, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
90,Antivirus,antivirus,Antivirüs, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
91,term,term,terim, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
92,calculating,calcul,Hesaplanıyor, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
93,use,use,kullanmak, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
94,person,person,kişi, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
95,search,search,arama, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
96,How,how,Nasıl, How they are developed and for what purposes they are actually used in the future can be influenced by computer users
97,chip,chip,yonga,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
98,Dogpile,dogpil,Dogpile, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
99,fixed,fix,sabit,  Unlike most machines computers do not have a fixed purpose
100,often,often,sıklıkla,  One of the newest and most popular services available on the Internet is the Worid Wide Web WWW which is often simply referred to as the Web note the use of the capital W
101,uses,use,kullanma, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
102,They,they,Onlar, They are multipurpose tools
103,also,also,ayrıca,        It is also possible to build all the main parts of a computer into one electronic integrated circuit packaged as a single electronic chip the common name for a microchip an electronic integrated circuit in a small package i
104,plugged,plug,tıkalı, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
105,features,featur,özellikleri, Computer uses mentioned in this unit include producing greetings cards learning using threedimensional graphics programs called ‘Splat the Cat’ and ‘Pets 3’ using the Microsoft Word wordprocessing program including features such as clipart readydrawn graphic images that can be inserted into documents communicating on the Internet using email and chat programs including the use of email attachments other types of files e
106,video,video,video, A multimedia computer can process different forms of data including text graphics audio sound animation and video
107,records,record,kayıtlar, smart cards which are able to store information such as health records drivers’ licences bank balances etc
108,text,text,Metin, A multimedia computer can process different forms of data including text graphics audio sound animation and video
109,engines,engin,motorlar, Websites such as Dogpile and AskJeeves give the user        access to special programs called search engines that are designed to allow the user to find relevant webpages on the Web
110,expert,expert,uzman, Advanced systems known as expert systems enable computers to ‘think’ like experts
111,password,password,şifre, without any delay while the users are logged on connected to a network system account normally using a password to the system
112,note,note,Not, The connection of networks throughout the world is known as the Internet note that a capital  is used or more simply the Net
113,being,be,olmak, As computer systems are developed they are becoming more common and are gradually being used for more and more purposes
114,sending,send,gönderme, Various communication services are available on the Internet including email electronic mail for sending and receiving text messages and IRC Internet Relay Chat which allows users to communicate using text messages in realtime i
115,processed,process,işlenmiş, One of the most common peripherals is a printer used for printing the computer output the processed data or signals that come out of a computer system   on paper
116,magnetic,magnet,manyetik, The most common storage device is a hard disk a set of aluminium disks coated in a magnetic material and enclosed in a vacuumsealed case used for storing the operating system and applications programs as well as the user’s data
117,enables,enabl,etkinleştirir, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
118,cards,card,kart, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
119,logged,log,oturum açmış, without any delay while the users are logged on connected to a network system account normally using a password to the system
120,Connecting,connect,Bağlanıyor, Connecting computers together to form a network can provide the ‘connectivity’ required to enable computers and software to communicate and fo share resources
121,set,set,Ayarlamak,     A computer is a device that processes data according to a set of instructions known  as a program
122,laid,laid,yataklı, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
123,over,over,üzerinde, An Internet system designed to provide free interactive access to vast resources for people all over the world is sometimes referred to as an information superhighway
124,themselves,themselv,kendileri, Antivirus programs are used to detect and remove viruses harmful programs that can reproduce themselves and attach themselves to other programs
125,clicking,click,tıklama, clicking the mouse
126,storage,storag,depolamak, CDROMs are storage devices that use laser light for reading and writing data
127,formulae,formula,forma, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
128,phones,phone,telefon, They can be used in a very wide variety of situations and are found in a wide range of systems including security systems cars and phones
129,plastic,plastic,plastik, This enables computers to be built into other devices including household devices such as washing machines and fridges and to be incorporated into plastic cards i
130,electronic,electron,elektronik, Electronics can be added to desktop computers by plugging in expansion cards electronic circuit boards that can be plugged into special sockets called expansion slots
131,compatible,compat,uyumlu, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
132,creating,creat,yaratma, Common applications programs include wordprocessors for creating and editing texts spreadsheets for calculating mathematical formulae and databases for storing data ina way that allows the data to be sorted and searched
133,PCs,pcs,PC'ler, Those designed for use by one person at a time are known as personal computers PCs although the term PC is usually only applied to personal computers that are compatible with the standards laid down by the company known as IBM  computers include desktop computers for use on an office desk and handheld computers that can be carried around by the user
